feature	importance	model	rank
methylation_hypo_TMB_RNF	0.08704630371398203	LogisticRegression	1
variant_TMB	0.08397682474768615	LogisticRegression	2
variant_KRAS_mutation	0.08002765820533939	LogisticRegression	3
methylation_enhancer_CRXIP	0.07453399480247405	LogisticRegression	4
fragmentomics_entropy	0.07194604603015849	LogisticRegression	5
fragmentomics_end_motif_CTCF	0.07101159782621544	LogisticRegression	6
fragmentomics_WPS_STAT1	0.06928955010860173	LogisticRegression	7
methylation_global_hypo_CpG	0.06654897235962304	LogisticRegression	8
expression_immune_activation	0.06626869642964137	LogisticRegression	9
methylation_hyper_TMB_PDL1	0.06485322486109121	LogisticRegression	10
methylation_SNP_upstream_PRK	0.0638588008831965	LogisticRegression	11
expression_t_cell_exhaustion	0.06307010241984892	LogisticRegression	12
methylation_SNP_near_MYC	0.05457142321041394	LogisticRegression	13
variant_DNA_burden	0.052161747263139574	LogisticRegression	14
fragmentomics_short_TFBS	0.030835057138588244	LogisticRegression	15
