feature	importance	model	rank
fragmentomics_end_motif_CTCF	0.17191125939537286	RandomForest	1
variant_KRAS_mutation	0.12778470483920007	RandomForest	2
methylation_hypo_TMB_RNF	0.09093316061089513	RandomForest	3
methylation_hyper_TMB_PDL1	0.07346937990159756	RandomForest	4
methylation_global_hypo_CpG	0.06812558831737892	RandomForest	5
variant_TMB	0.06796806274253689	RandomForest	6
fragmentomics_WPS_STAT1	0.062445884633153946	RandomForest	7
fragmentomics_entropy	0.05852178393675766	RandomForest	8
expression_immune_activation	0.05764652973197651	RandomForest	9
variant_DNA_burden	0.052984177768330115	RandomForest	10
methylation_enhancer_CRXIP	0.049995647436645106	RandomForest	11
methylation_SNP_upstream_PRK	0.040673486761049815	RandomForest	12
fragmentomics_short_TFBS	0.03667415763790418	RandomForest	13
expression_t_cell_exhaustion	0.028955374782840933	RandomForest	14
methylation_SNP_near_MYC	0.01191080150436038	RandomForest	15
