feature	importance_score	rank	model_type
methylation_enhancer_CRXIP	0.072318150016824	1	NaiveBayes
methylation_SNP_upstream_PRK	0.02237945910653534	2	NaiveBayes
methylation_SNP_near_MYC	0.03898316136448792	3	NaiveBayes
methylation_hypo_TMB_RNF	0.048675150571800885	4	NaiveBayes
methylation_hyper_TMB_PDL1	0.062968124386742	5	NaiveBayes
methylation_global_hypo_CpG	0.05888543958238893	6	NaiveBayes
fragmentomics_short_TFBS	0.061863557532244165	7	NaiveBayes
fragmentomics_entropy	0.055548296806609596	8	NaiveBayes
fragmentomics_WPS_STAT1	0.0720232303650855	9	NaiveBayes
fragmentomics_end_motif_CTCF	0.07213859920950892	10	NaiveBayes
variant_KRAS_mutation	0.06260865308610782	11	NaiveBayes
variant_TMB	0.07165195202538902	12	NaiveBayes
variant_DNA_burden	0.037351674256561634	13	NaiveBayes
expression_immune_activation	0.03424328590432425	14	NaiveBayes
expression_t_cell_exhaustion	0.047754243888202846	15	NaiveBayes
