feature	importance_score	rank	model_type
methylation_enhancer_CRXIP	0.10091497506474265	1	XGBoost
methylation_SNP_upstream_PRK	0.12377171487275292	2	XGBoost
methylation_SNP_near_MYC	0.11010512578702583	3	XGBoost
methylation_hypo_TMB_RNF	0.11391178662354169	4	XGBoost
methylation_hyper_TMB_PDL1	0.13223117390885236	5	XGBoost
methylation_global_hypo_CpG	0.05478535906207427	6	XGBoost
fragmentomics_short_TFBS	0.11631557104348401	7	XGBoost
fragmentomics_entropy	0.10298497648676772	8	XGBoost
fragmentomics_WPS_STAT1	0.14696756022904922	9	XGBoost
fragmentomics_end_motif_CTCF	0.13753391887707028	10	XGBoost
variant_KRAS_mutation	0.11991957165158092	11	XGBoost
variant_TMB	0.0839251405607975	12	XGBoost
variant_DNA_burden	0.09571302445805738	13	XGBoost
expression_immune_activation	0.11543713190535382	14	XGBoost
expression_t_cell_exhaustion	0.053198997188391786	15	XGBoost
