feature	importance_score	rank	model_type
methylation_enhancer_CRXIP	0.0709763715949302	1	RandomForest
methylation_SNP_upstream_PRK	0.09336122605894862	2	RandomForest
methylation_SNP_near_MYC	0.10992749130650704	3	RandomForest
methylation_hypo_TMB_RNF	0.0960515879518013	4	RandomForest
methylation_hyper_TMB_PDL1	0.08667065682796445	5	RandomForest
methylation_global_hypo_CpG	0.05712293791946199	6	RandomForest
fragmentomics_short_TFBS	0.06745054569053321	7	RandomForest
fragmentomics_entropy	0.11493132252665046	8	RandomForest
fragmentomics_WPS_STAT1	0.09561165657432835	9	RandomForest
fragmentomics_end_motif_CTCF	0.0634777428812521	10	RandomForest
variant_KRAS_mutation	0.061117585312796964	11	RandomForest
variant_TMB	0.10763941527677014	12	RandomForest
variant_DNA_burden	0.03924898270050198	13	RandomForest
expression_immune_activation	0.04799373830309937	14	RandomForest
expression_t_cell_exhaustion	0.07199808249520775	15	RandomForest
